configuration,resencm_weight,dtk10_weight,msl_weight,threshold,mode,mean_dice,mean_lesion_f1,mean_lesion_count_difference,mean_absolute_volume_difference_ml,missed_cases,tiny_recall,small_recall,medium_recall,large_recall
c00_r0.3750_d0.3750_m0.2500_i0.0000_t0.350__pp_s100_c064,0.375,0.375,0.25,0.35,pp_s100_c064,0.6657470307619924,0.616433964857561,1.7907777013076394,5.215706739504974,80,0.23473282442748092,0.6197846567967699,0.8604651162790697,0.9842767295597484
c00_r0.3750_d0.3750_m0.2500_i0.0000_t0.350__pp_s100_c065,0.375,0.375,0.25,0.35,pp_s100_c065,0.6657251206583391,0.6168675569684131,1.791465932553338,5.215664225331417,80,0.2342557251908397,0.6184387617765814,0.8604651162790697,0.9842767295597484
c00_r0.3750_d0.3750_m0.2500_i0.0000_t0.350__pp_s100_c066,0.375,0.375,0.25,0.35,pp_s100_c066,0.6656999025532961,0.6165980347443142,1.7900894700619407,5.215707761013775,80,0.23282442748091603,0.6184387617765814,0.8604651162790697,0.9842767295597484
c00_r0.3750_d0.3750_m0.2500_i0.0000_t0.350__pp_s150_c064,0.375,0.375,0.25,0.35,pp_s150_c064,0.665533364197469,0.6168765993015631,1.7969717825189264,5.215748639253655,82,0.23473282442748092,0.6130551816958277,0.8575581395348837,0.9842767295597484
c00_r0.3750_d0.3750_m0.2500_i0.0000_t0.350__pp_s150_c065,0.375,0.375,0.25,0.35,pp_s150_c065,0.6649848707948702,0.616797841485062,1.7997247075017206,5.215650348659316,83,0.2342557251908397,0.6103633916554508,0.8575581395348837,0.9842767295597484
c00_r0.3750_d0.3750_m0.2500_i0.0000_t0.350__pp_s150_c066,0.375,0.375,0.25,0.35,pp_s150_c066,0.6648327688943757,0.6163185725956073,1.7983482450103234,5.215716861226824,83,0.23282442748091603,0.6096904441453567,0.8575581395348837,0.9842767295597484
c00_r0.3750_d0.3750_m0.2500_i0.0000_t0.350__pp_s200_c064,0.375,0.375,0.25,0.35,pp_s200_c064,0.6655163692352586,0.6172894533418007,1.800412938747419,5.215663074128272,82,0.23473282442748092,0.6090174966352625,0.8546511627906976,0.9827044025157232
c00_r0.3750_d0.3750_m0.2500_i0.0000_t0.350__pp_s200_c065,0.375,0.375,0.25,0.35,pp_s200_c065,0.6649607093697628,0.6173040983372157,1.8017894012388163,5.215549299128818,83,0.2342557251908397,0.6063257065948856,0.8546511627906976,0.9827044025157232
c00_r0.3750_d0.3750_m0.2500_i0.0000_t0.350__pp_s200_c066,0.375,0.375,0.25,0.35,pp_s200_c066,0.6648421682009064,0.6169231481971466,1.7997247075017206,5.215500877078295,83,0.23282442748091603,0.6056527590847914,0.8546511627906976,0.9827044025157232
c00_r0.3750_d0.3750_m0.2500_i0.0000_t0.350__pp_s250_c064,0.375,0.375,0.25,0.35,pp_s250_c064,0.6655047086905976,0.6179049254999229,1.8045423262216105,5.2162553466463075,82,0.23473282442748092,0.607671601615074,0.8546511627906976,0.9827044025157232
c00_r0.3750_d0.3750_m0.2500_i0.0000_t0.350__pp_s250_c065,0.375,0.375,0.25,0.35,pp_s250_c065,0.6649578218195955,0.6180686872652393,1.8072952512044047,5.215829688526532,83,0.23377862595419846,0.6049798115746972,0.8546511627906976,0.9827044025157232
c00_r0.3750_d0.3750_m0.2500_i0.0000_t0.350__pp_s250_c066,0.375,0.375,0.25,0.35,pp_s250_c066,0.664839280650739,0.6176877371251702,1.805230557467309,5.215781266476008,83,0.23234732824427481,0.604306864064603,0.8546511627906976,0.9827044025157232
c00_r0.3750_d0.3750_m0.2500_i0.0000_t0.350__pp_s300_c064,0.375,0.375,0.25,0.35,pp_s300_c064,0.6655234529769706,0.6182348395256388,1.8024776324845149,5.216455316650166,82,0.23473282442748092,0.6069986541049798,0.8546511627906976,0.9811320754716981
c00_r0.3750_d0.3750_m0.2500_i0.0000_t0.350__pp_s300_c065,0.375,0.375,0.25,0.35,pp_s300_c065,0.6648987928315268,0.6181691908757223,1.8059187887130075,5.2160902228800134,83,0.23377862595419846,0.6036339165545087,0.8546511627906976,0.9811320754716981
c00_r0.3750_d0.3750_m0.2500_i0.0000_t0.350__pp_s300_c066,0.375,0.375,0.25,0.35,pp_s300_c066,0.6647835694444206,0.6178537865685768,1.8045423262216105,5.216242764257406,83,0.23234732824427481,0.6029609690444145,0.8546511627906976,0.9811320754716981
c01_r0.3000_d0.3000_m0.3000_i0.1000_t0.425__pp_s100_c064,0.3,0.3,0.3,0.425,pp_s100_c064,0.6654228470240963,0.6120766227838852,1.780454232622161,5.089583501339348,76,0.24475190839694658,0.6352624495289367,0.8590116279069767,0.9842767295597484
c01_r0.3000_d0.3000_m0.3000_i0.1000_t0.425__pp_s100_c065,0.3,0.3,0.3,0.425,pp_s100_c065,0.6661090784821345,0.613372182289319,1.781830695113558,5.089648261411664,76,0.24427480916030533,0.6345895020188426,0.8590116279069767,0.9842767295597484
c01_r0.3000_d0.3000_m0.3000_i0.1000_t0.425__pp_s100_c066,0.3,0.3,0.3,0.425,pp_s100_c066,0.6658015312505198,0.6144799285480713,1.7825189263592567,5.089629878267698,78,0.24236641221374045,0.6325706594885598,0.8590116279069767,0.9842767295597484
c01_r0.3000_d0.3000_m0.3000_i0.1000_t0.425__pp_s150_c064,0.3,0.3,0.3,0.425,pp_s150_c064,0.6655381038075853,0.6132828558208133,1.7880247763248451,5.089731020569543,76,0.24427480916030533,0.6312247644683715,0.8575581395348837,0.9827044025157232
c01_r0.3000_d0.3000_m0.3000_i0.1000_t0.425__pp_s150_c065,0.3,0.3,0.3,0.425,pp_s150_c065,0.6662366930633559,0.6145492176370356,1.7880247763248451,5.089891045967318,76,0.2433206106870229,0.6305518169582772,0.8575581395348837,0.9827044025157232
c01_r0.3000_d0.3000_m0.3000_i0.1000_t0.425__pp_s150_c066,0.3,0.3,0.3,0.425,pp_s150_c066,0.665929309069877,0.6155522166127888,1.7900894700619407,5.090026544459794,78,0.24141221374045801,0.6278600269179004,0.8575581395348837,0.9827044025157232
c01_r0.3000_d0.3000_m0.3000_i0.1000_t0.425__pp_s200_c064,0.3,0.3,0.3,0.425,pp_s200_c064,0.6655489570419663,0.6141498440476251,1.7894012388162424,5.089690326841325,76,0.24427480916030533,0.6305518169582772,0.8561046511627907,0.9827044025157232
c01_r0.3000_d0.3000_m0.3000_i0.1000_t0.425__pp_s200_c065,0.3,0.3,0.3,0.425,pp_s200_c065,0.6662475462977367,0.6154162058638474,1.7894012388162424,5.0898503522391,76,0.2433206106870229,0.629878869448183,0.8561046511627907,0.9827044025157232
c01_r0.3000_d0.3000_m0.3000_i0.1000_t0.425__pp_s200_c066,0.3,0.3,0.3,0.425,pp_s200_c066,0.6659401548083294,0.616416393437453,1.791465932553338,5.089985850731575,78,0.24141221374045801,0.6271870794078062,0.8561046511627907,0.9827044025157232
c01_r0.3000_d0.3000_m0.3000_i0.1000_t0.425__pp_s250_c064,0.3,0.3,0.3,0.425,pp_s250_c064,0.6656101225133952,0.6145254720901493,1.7866483138334481,5.089078976900201,76,0.24427480916030533,0.629878869448183,0.8561046511627907,0.9827044025157232
c01_r0.3000_d0.3000_m0.3000_i0.1000_t0.425__pp_s250_c065,0.3,0.3,0.3,0.425,pp_s250_c065,0.6663087117691657,0.6157918339063715,1.7866483138334481,5.089239002297976,76,0.2433206106870229,0.6292059219380888,0.8561046511627907,0.9827044025157232
c01_r0.3000_d0.3000_m0.3000_i0.1000_t0.425__pp_s250_c066,0.3,0.3,0.3,0.425,pp_s250_c066,0.6660013202797582,0.6167920214799771,1.7887130075705437,5.089374500790452,78,0.24141221374045801,0.626514131897712,0.8561046511627907,0.9827044025157232
